p,r
_:b0,_:b1
_:b2,_:b3
_:b2,_:b4
_:b5,_:b6
_:b5,_:b7
_:b8,_:b9
_:b10,_:b11
_:b12,_:b13
_:b14,_:b15
_:b16,_:b17
_:b18,_:b19
_:b18,_:b20
_:b21,_:b22
_:b23,_:b24
_:b23,_:b25
_:b26,_:b27
_:b26,_:b28
_:b26,_:b29
_:b30,_:b31
_:b32,_:b33
_:b34,_:b35
_:b36,_:b37
_:b38,_:b39
_:b40,_:b41
_:b42,_:b43
_:b42,_:b44
_:b42,_:b45
_:b46,_:b47
_:b48,_:b49
_:b50,_:b51
_:b50,_:b52
_:b50,_:b53
_:b54,_:b55
_:b54,_:b56
_:b54,_:b57
_:b58,_:b59
_:b60,_:b61
_:b62,_:b63
_:b62,_:b64
_:b65,_:b66
_:b65,_:b67
_:b68,_:b69
_:b70,_:b71
_:b72,_:b73
_:b74,_:b75
_:b74,_:b76
_:b77,_:b78
_:b77,_:b79
_:b80,_:b81
_:b82,_:b83
_:b82,_:b84
_:b85,_:b86
_:b85,_:b87
_:b88,_:b89
_:b90,_:b91
_:b90,_:b92
_:b93,_:b94
_:b93,_:b95
_:b96,_:b97
_:b98,_:b99
_:b98,_:b100
_:b101,_:b102
_:b101,_:b103
_:b104,_:b105
_:b104,_:b106
_:b107,_:b108
_:b107,_:b109
_:b110,_:b111
_:b112,_:b113
_:b114,_:b115
_:b116,_:b117
_:b116,_:b118
_:b119,_:b120
_:b121,_:b122
_:b123,_:b124
_:b125,_:b126
_:b127,_:b128
_:b129,_:b130
_:b131,_:b132
_:b133,_:b134
_:b135,_:b136
_:b137,_:b138
_:b137,_:b139
_:b140,_:b141
_:b140,_:b142
_:b143,_:b144
_:b145,_:b146
_:b147,_:b148
_:b149,_:b150
_:b149,_:b151
_:b152,_:b153
_:b154,_:b155
_:b154,_:b156
_:b157,_:b158
_:b159,_:b160
_:b161,_:b162
_:b161,_:b163
_:b161,_:b164
_:b165,_:b166
_:b167,_:b168
_:b169,_:b170
_:b169,_:b171
_:b172,_:b173
_:b174,_:b175
_:b176,_:b177
_:b176,_:b178
_:b179,_:b180
_:b179,_:b181
_:b179,_:b182
_:b183,_:b184
_:b185,_:b186
_:b187,_:b188
_:b187,_:b189
_:b187,_:b190
_:b191,_:b192
_:b193,_:b194
_:b193,_:b195
_:b193,_:b196
_:b197,_:b198
_:b199,_:b200
_:b199,_:b201
_:b202,_:b203
_:b202,_:b204
_:b205,_:b206
_:b205,_:b207
_:b208,_:b209
_:b210,_:b211
_:b210,_:b212
_:b213,_:b214
_:b215,_:b216
