,load_time,exec_time,total_time
count,6.0,6.0,6.0
mean,5814.333333333333,942.5,6756.833333333333
std,61.28838933000823,858.2274174133568,816.5773488572082
min,5734.0,84.0,5902.0
25%,5780.5,208.25,6061.25
50%,5815.0,891.5,6757.0
75%,5833.75,1376.0,7158.0
max,5913.0,2270.0,8004.0
