,netw_time,reas_time,total_time
count,2.0,2.0,2.0
mean,3303.5,5241.0,8544.5
std,41.71930009000631,2006.769045007422,1965.0497449174156
min,3274.0,3822.0,7155.0
25%,3288.75,4531.5,7849.75
50%,3303.5,5241.0,8544.5
75%,3318.25,5950.5,9239.25
max,3333.0,6660.0,9934.0
