,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,1675.75,21099.75,22775.5
std,31.972644557496334,28260.076696935317,28245.00018882398
min,1647.0,561.0,2281.0
25%,1656.0,7070.25,8735.5
50%,1668.0,10480.0,12142.0
75%,1687.75,24509.5,26182.0
max,1720.0,62878.0,64537.0
