,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,600.5,5411.75,6012.25
std,21.393145319626722,8582.748641897886,8571.001745225973
min,585.0,116.0,748.0
25%,588.75,914.75,1515.25
50%,592.5,1652.0,2244.5
75%,604.25,6149.0,6741.5
max,632.0,18227.0,18812.0
