,load_time,exec_time,total_time
count,4.0,4.0,4.0
mean,1089.75,207.5,1297.25
std,13.375973484822204,62.33511583904105,57.4303926505818
min,1076.0,138.0,1246.0
25%,1083.5,180.0,1264.0
50%,1087.5,201.5,1282.5
75%,1093.75,229.0,1315.75
max,1108.0,289.0,1378.0
