,netw_time,reas_time,total_time
count,2.0,2.0,2.0
mean,622.0,478.0,1100.0
std,25.45584412271571,159.80613254815975,185.26197667087544
min,604.0,365.0,969.0
25%,613.0,421.5,1034.5
50%,622.0,478.0,1100.0
75%,631.0,534.5,1165.5
max,640.0,591.0,1231.0
