,netw_time,reas_time,total_time
count,2.0,2.0,2.0
mean,1622.5,1771.0,3393.5
std,36.062445840513924,619.4255403194156,655.4879861599295
min,1597.0,1333.0,2930.0
25%,1609.75,1552.0,3161.75
50%,1622.5,1771.0,3393.5
75%,1635.25,1990.0,3625.25
max,1648.0,2209.0,3857.0
