,netw_time,reas_time,total_time
count,2.0,2.0,2.0
mean,2274.0,2875.5,5149.5
std,28.284271247461902,1028.8403666264267,1000.5560953789648
min,2254.0,2148.0,4442.0
25%,2264.0,2511.75,4795.75
50%,2274.0,2875.5,5149.5
75%,2284.0,3239.25,5503.25
max,2294.0,3603.0,5857.0
