,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,2367.0,96574.5,98941.5
std,29.58603274069258,166168.03339892626,166164.06350050544
min,2333.0,569.0,2974.0
25%,2354.75,6942.5,9293.5
50%,2365.0,20339.0,22689.5
75%,2377.25,109971.0,112337.5
max,2405.0,345051.0,347413.0
