,load_time,exec_time,total_time
count,4.0,4.0,4.0
mean,1897.25,276.5,2173.75
std,21.83842179889991,103.79948619012202,90.32672177526796
min,1872.0,156.0,2078.0
25%,1884.0,231.0,2138.0
50%,1897.5,271.0,2160.5
75%,1910.75,316.5,2196.25
max,1922.0,408.0,2296.0
