,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,2384.75,16039.25,18424.0
std,19.155068954891984,15111.260224856607,15093.975928605867
min,2365.0,553.0,2964.0
25%,2377.0,6640.75,9030.0
50%,2381.5,14041.5,16423.0
75%,2389.25,23440.0,25817.0
max,2411.0,35521.0,37886.0
