,netw_time,reas_time,total_time
count,3.0,3.0,3.0
mean,3433.0,31902.0,35335.0
std,24.979991993593593,40572.48034074328,40547.52605276924
min,3405.0,982.0,4435.0
25%,3423.0,8931.5,12378.5
50%,3441.0,16881.0,20322.0
75%,3447.0,47362.0,50785.0
max,3453.0,77843.0,81248.0
