,netw_time,reas_time,total_time
count,3.0,3.0,3.0
mean,3421.6666666666665,86266.33333333333,89688.0
std,52.97483679383386,118203.78728845084,118208.5739572219
min,3363.0,1523.0,4989.0
25%,3399.5,18750.0,22164.5
50%,3436.0,35977.0,39340.0
75%,3451.0,128638.0,132037.5
max,3466.0,221299.0,224735.0
