,load_time,exec_time,total_time
count,4.0,4.0,4.0
mean,1410.75,233.0,1643.75
std,21.823152842795196,85.90304612371632,74.81699895968384
min,1389.0,136.0,1576.0
25%,1398.0,191.5,1593.25
50%,1407.0,226.5,1627.5
75%,1419.75,268.0,1678.0
max,1440.0,343.0,1744.0
