,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,621.75,1150.5,1772.25
std,17.55704986607944,853.6355584596196,864.1718096921853
min,600.0,123.0,739.0
25%,612.0,852.0,1456.0
50%,623.5,1133.5,1749.0
75%,633.25,1432.0,2065.25
max,640.0,2212.0,2852.0
