,netw_time,reas_time,total_time
count,6.0,6.0,6.0
mean,309.59999999999997,253.16666666666666,562.7666666666668
std,7.12404379548582,247.48350786803286,251.1841210480206
min,301.4,15.4,323.4
25%,303.25,32.75,337.7
50%,310.1,238.9,548.5
75%,315.75,422.40000000000003,739.35
max,317.4,578.2,885.8
