,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,1676.25,36321.5,37997.75
std,36.040486493201875,59101.49883322194,59083.6019573113
min,1653.0,384.0,2114.0
25%,1658.25,3905.25,5582.75
50%,1661.0,10212.5,11873.5
75%,1679.0,42628.75,44288.5
max,1730.0,124477.0,126130.0
