,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,307.54999999999995,1536.25,1843.8
std,9.001296202955075,2227.251151082877,2229.1845863454196
min,296.4,82.6,399.8
25%,302.7,450.1,758.0
50%,308.3,602.9000000000001,903.5
75%,313.15,1689.0500000000002,1989.2999999999997
max,317.2,4856.6,5168.4
