,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,2351.25,39322.75,41674.0
std,31.223655562196214,52431.90656063666,52407.94471579031
min,2321.0,851.0,3246.0
25%,2337.5,13334.75,15693.0
50%,2344.5,19838.5,22183.0
75%,2358.25,45826.5,48164.0
max,2395.0,116763.0,119084.0
