,netw_time,reas_time,total_time
count,3.0,3.0,3.0
mean,3464.6666666666665,22998.666666666668,26463.333333333332
std,40.414518843273804,26142.370059605026,26103.71242435323
min,3418.0,942.0,4430.0
25%,3453.0,8560.5,12048.5
50%,3488.0,16179.0,19667.0
75%,3488.0,34027.0,37480.0
max,3488.0,51875.0,55293.0
