,load_time,exec_time,total_time
count,4.0,4.0,4.0
mean,428.84999999999997,119.4,548.25
std,10.88286114340649,17.38428409033094,20.01690951837137
min,417.4,104.6,534.0
25%,421.75,110.15,534.9000000000001
50%,427.9,114.3,541.0
75%,435.0,123.55,554.3499999999999
max,442.2,144.4,577.0
