,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,621.75,4355.5,4977.25
std,17.23127002477376,6167.66160442243,6172.0512190032905
min,603.0,169.0,783.0
25%,611.25,1318.75,1924.5
50%,620.5,1863.0,2486.0
75%,631.0,4899.75,5538.75
max,643.0,13527.0,14154.0
