,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,1654.5,7484.0,9138.5
std,37.36754384935319,6578.326078874473,6541.6165433323895
min,1604.0,369.0,2056.0
25%,1637.75,3687.75,5368.0
50%,1663.5,6862.0,8525.5
75%,1680.25,10658.25,12296.0
max,1687.0,15843.0,17447.0
