,load_time,exec_time,total_time
count,4.0,4.0,4.0
mean,624.0,143.75,767.75
std,34.18576701884378,28.8371866404012,40.22747817102136
min,599.0,121.0,733.0
25%,599.75,130.0,733.75
50%,612.5,134.0,763.5
75%,636.75,147.75,797.5
max,672.0,186.0,811.0
