,netw_time,reas_time,total_time
count,2.0,2.0,2.0
mean,304.5,202.5,507.0
std,21.920310216782973,68.58935777509511,90.50966799187809
min,289.0,154.0,443.0
25%,296.75,178.25,475.0
50%,304.5,202.5,507.0
75%,312.25,226.75,539.0
max,320.0,251.0,571.0
