,netw_time,reas_time,total_time
count,4.0,4.0,4.0
mean,299.6,1386.0,1685.6
std,3.0066592756745876,2033.7320701934495,2034.4546001324286
min,295.2,54.8,350.0
25%,298.95,350.6,650.75
50%,300.7,536.8,838.3
75%,301.35,1572.2,1873.15
max,301.8,4415.6,4715.8
