run,query,data,type,phase,netw_time,reas_time
0,pp1.n3,data_2_000_pt2.nt,direct,n/a,632,116
0,pp1.n3,data_2_000_pt2.nt,bwd,create,15,13
0,pp1.n3,data_2_000_pt2.nt,bwd,run,601,110
0,pp1.n3,data_2_000_pt2.nt,bwd,total,616,123
0,pp1.n3,data_2_000_pt2.nt,fwd,create,15,13
0,pp1.n3,data_2_000_pt2.nt,fwd,run,599,156
0,pp1.n3,data_2_000_pt2.nt,fwd,total,614,169
0,pp2-2.n3,data_2_000_pt2.nt,direct,n/a,576,4
0,pp2-2.n3,data_2_000_pt2.nt,bwd,create,15,13
0,pp2-2.n3,data_2_000_pt2.nt,bwd,run,589,4
0,pp2-2.n3,data_2_000_pt2.nt,bwd,total,604,17
0,pp2-2.n3,data_2_000_pt2.nt,fwd,create,14,13
0,pp2-2.n3,data_2_000_pt2.nt,fwd,run,607,93
0,pp2-2.n3,data_2_000_pt2.nt,fwd,total,621,106
0,pp2.n3,data_2_000_pt2.nt,direct,n/a,595,2123
0,pp2.n3,data_2_000_pt2.nt,bwd,create,14,13
0,pp2.n3,data_2_000_pt2.nt,bwd,run,617,1159
0,pp2.n3,data_2_000_pt2.nt,bwd,total,631,1172
0,pp2.n3,data_2_000_pt2.nt,fwd,create,15,13
0,pp2.n3,data_2_000_pt2.nt,fwd,run,588,1689
0,pp2.n3,data_2_000_pt2.nt,fwd,total,603,1702
0,pp3.n3,data_2_000_pt2.nt,direct,n/a,590,1181
0,pp3.n3,data_2_000_pt2.nt,bwd,create,15,42
0,pp3.n3,data_2_000_pt2.nt,bwd,run,585,1053
0,pp3.n3,data_2_000_pt2.nt,bwd,total,600,1095
0,pp3.n3,data_2_000_pt2.nt,fwd,create,14,41
0,pp3.n3,data_2_000_pt2.nt,fwd,run,613,13486
0,pp3.n3,data_2_000_pt2.nt,fwd,total,627,13527
0,pp4-2.n3,data_2_000_pt2.nt,direct,n/a,612,4
0,pp4-2.n3,data_2_000_pt2.nt,bwd,create,15,20
0,pp4-2.n3,data_2_000_pt2.nt,bwd,run,613,4
0,pp4-2.n3,data_2_000_pt2.nt,bwd,total,628,24
0,pp4-2.n3,data_2_000_pt2.nt,fwd,create,15,20
0,pp4-2.n3,data_2_000_pt2.nt,fwd,run,610,155
0,pp4-2.n3,data_2_000_pt2.nt,fwd,total,625,175
0,pp4.n3,data_2_000_pt2.nt,direct,n/a,585,18227
0,pp4.n3,data_2_000_pt2.nt,bwd,create,16,21
0,pp4.n3,data_2_000_pt2.nt,bwd,run,624,2191
0,pp4.n3,data_2_000_pt2.nt,bwd,total,640,2212
0,pp4.n3,data_2_000_pt2.nt,fwd,create,14,20
0,pp4.n3,data_2_000_pt2.nt,fwd,run,629,2004
0,pp4.n3,data_2_000_pt2.nt,fwd,total,643,2024

0,pp1.n3,data_2_000_pt2.nt,mxd,create,15,13
0,pp1.n3,data_2_000_pt2.nt,mxd,run,644,157
0,pp1.n3,data_2_000_pt2.nt,mxd,total,659,170
0,pp2-2.n3,data_2_000_pt2.nt,mxd,create,15,13
0,pp2-2.n3,data_2_000_pt2.nt,mxd,run,650,93
0,pp2-2.n3,data_2_000_pt2.nt,mxd,total,665,106
0,pp2.n3,data_2_000_pt2.nt,mxd,create,15,13
0,pp2.n3,data_2_000_pt2.nt,mxd,run,618,1724
0,pp2.n3,data_2_000_pt2.nt,mxd,total,633,1737
0,pp3.n3,data_2_000_pt2.nt,mxd,create,14,42
0,pp3.n3,data_2_000_pt2.nt,mxd,run,631,2252
0,pp3.n3,data_2_000_pt2.nt,mxd,total,645,2294
0,pp4-2.n3,data_2_000_pt2.nt,mxd,create,15,20
0,pp4-2.n3,data_2_000_pt2.nt,mxd,run,640,157
0,pp4-2.n3,data_2_000_pt2.nt,mxd,total,655,177
0,pp4.n3,data_2_000_pt2.nt,mxd,create,15,20
0,pp4.n3,data_2_000_pt2.nt,mxd,run,631,2038
0,pp4.n3,data_2_000_pt2.nt,mxd,total,646,2058

0,pp2.n3,data_2_000_pt2.nt,bwd_ro1,run,640,591
0,pp2.n3,data_2_000_pt2.nt,bwd_ro1,total,640,591

0,pp4.n3,data_2_000_pt2.nt,bwd_ro1,run,604,365
0,pp4.n3,data_2_000_pt2.nt,bwd_ro1,total,604,365

0,pp2-re0.n3,data_2_000_pt2.nt,direct,n/a,645,5
0,pp2-re0.n3,data_2_000_pt2.nt,bwd,create,15,13
0,pp2-re0.n3,data_2_000_pt2.nt,bwd,run,638,4
0,pp2-re0.n3,data_2_000_pt2.nt,bwd,total,653,17
0,pp2-re0.n3,data_2_000_pt2.nt,fwd,create,15,13
0,pp2-re0.n3,data_2_000_pt2.nt,fwd,run,631,98
0,pp2-re0.n3,data_2_000_pt2.nt,fwd,total,646,111
0,pp2-re0.n3,data_2_000_pt2.nt,mxd,create,15,13
0,pp2-re0.n3,data_2_000_pt2.nt,mxd,run,634,94
0,pp2-re0.n3,data_2_000_pt2.nt,mxd,total,649,107

0,pp2-re1.n3,data_2_000_pt2.nt,direct,n/a,588,216
0,pp2-re1.n3,data_2_000_pt2.nt,bwd,create,14,13
0,pp2-re1.n3,data_2_000_pt2.nt,bwd,run,601,112
0,pp2-re1.n3,data_2_000_pt2.nt,bwd,total,615,125
0,pp2-re1.n3,data_2_000_pt2.nt,fwd,create,15,13
0,pp2-re1.n3,data_2_000_pt2.nt,fwd,run,579,230
0,pp2-re1.n3,data_2_000_pt2.nt,fwd,total,594,243
0,pp2-re1.n3,data_2_000_pt2.nt,mxd,create,15,13
0,pp2-re1.n3,data_2_000_pt2.nt,mxd,run,583,228
0,pp2-re1.n3,data_2_000_pt2.nt,mxd,total,598,241
0,pp2-re0.n3,data_2_000_pt2.nt,bwd_ro1,run,633,5
0,pp2-re0.n3,data_2_000_pt2.nt,bwd_ro1,total,633,5

0,pp2-re1.n3,data_2_000_pt2.nt,bwd_ro1,run,643,50
0,pp2-re1.n3,data_2_000_pt2.nt,bwd_ro1,total,643,50

0,pp4-re0.n3,data_2_000_pt2.nt,direct,n/a,652,4
0,pp4-re0.n3,data_2_000_pt2.nt,bwd,create,15,20
0,pp4-re0.n3,data_2_000_pt2.nt,bwd,run,626,4
0,pp4-re0.n3,data_2_000_pt2.nt,bwd,total,641,24
0,pp4-re0.n3,data_2_000_pt2.nt,bwd_ro1,run,634,5
0,pp4-re0.n3,data_2_000_pt2.nt,bwd_ro1,total,634,5
0,pp4-re0.n3,data_2_000_pt2.nt,fwd,create,15,20
0,pp4-re0.n3,data_2_000_pt2.nt,fwd,run,629,151
0,pp4-re0.n3,data_2_000_pt2.nt,fwd,total,644,171
0,pp4-re0.n3,data_2_000_pt2.nt,mxd,create,15,20
0,pp4-re0.n3,data_2_000_pt2.nt,mxd,run,619,155
0,pp4-re0.n3,data_2_000_pt2.nt,mxd,total,634,175

0,pp4-re1.n3,data_2_000_pt2.nt,direct,n/a,587,915
0,pp4-re1.n3,data_2_000_pt2.nt,bwd,create,14,20
0,pp4-re1.n3,data_2_000_pt2.nt,bwd,run,590,473
0,pp4-re1.n3,data_2_000_pt2.nt,bwd,total,604,493
0,pp4-re1.n3,data_2_000_pt2.nt,fwd,create,14,20
0,pp4-re1.n3,data_2_000_pt2.nt,fwd,run,571,836
0,pp4-re1.n3,data_2_000_pt2.nt,fwd,total,585,856

0,pp4-re1.n3,data_2_000_pt2.nt,bwd_ro1,run,633,196
0,pp4-re1.n3,data_2_000_pt2.nt,bwd_ro1,total,633,196


0,pp1.n3,data_2_000_pt2.nt,bwd_auto,create,19,19
0,pp1.n3,data_2_000_pt2.nt,bwd_auto,run,648,112
0,pp1.n3,data_2_000_pt2.nt,bwd_auto,total,667,131
0,pp2-2.n3,data_2_000_pt2.nt,bwd_auto,create,19,20
0,pp2-2.n3,data_2_000_pt2.nt,bwd_auto,run,638,4
0,pp2-2.n3,data_2_000_pt2.nt,bwd_auto,total,657,24
0,pp2-re0.n3,data_2_000_pt2.nt,bwd_auto,create,18,20
0,pp2-re0.n3,data_2_000_pt2.nt,bwd_auto,run,641,4
0,pp2-re0.n3,data_2_000_pt2.nt,bwd_auto,total,659,24
