,query,netw_time,reas_time,total_time,id
0,pp1.n3,1687.0,369.0,2056.0,pp1
3,pp2.n3,1649.0,8930.0,10579.0,pp2
4,pp3.n3,1678.0,4794.0,6472.0,pp3
7,pp4.n3,1604.0,15843.0,17447.0,pp4
