,query,netw_time,reas_time,total_time,id
0,pp2-re0.n3,633.0,5.0,638.0,pp2-re0
1,pp2-re1.n3,643.0,50.0,693.0,pp2-re1
2,pp2.n3,640.0,591.0,1231.0,pp2
3,pp4-re0.n3,634.0,5.0,639.0,pp4-re0
4,pp4-re1.n3,633.0,196.0,829.0,pp4-re1
5,pp4.n3,604.0,365.0,969.0,pp4
