,query,netw_time,reas_time,total_time,id
0,pp2-re0.n3,3348.0,62.0,3410.0,pp2-re0
1,pp2-re1.n3,3431.0,344.0,3775.0,pp2-re1
2,pp2.n3,3274.0,6660.0,9934.0,pp2
3,pp4-re0.n3,3431.0,58.0,3489.0,pp4-re0
4,pp4-re1.n3,3300.0,1652.0,4952.0,pp4-re1
5,pp4.n3,3333.0,3822.0,7155.0,pp4
