,query,netw_time,reas_time,total_time,id
0,pp1.n3,614.0,169.0,783.0,pp1
3,pp2.n3,603.0,1702.0,2305.0,pp2
4,pp3.n3,627.0,13527.0,14154.0,pp3
7,pp4.n3,643.0,2024.0,2667.0,pp4
