,query,netw_time,reas_time,total_time,id
0,pp1.n3,3466.0,1523.0,4989.0,pp1
3,pp2.n3,3363.0,35977.0,39340.0,pp2
4,pp3.n3,3436.0,221299.0,224735.0,pp3
