,query,netw_time,reas_time,total_time,id
0,pp1.n3,3488.0,942.0,4430.0,pp1
3,pp2.n3,3418.0,51875.0,55293.0,pp2
4,pp3.n3,3488.0,16179.0,19667.0,pp3
