,query,load_time,exec_time,total_time,nr
0,pp1.sparql,442.2,104.6,546.8,
1,pp2-2.sparql,421.0,85.0,506.0,
2,pp2.sparql,417.4,116.6,534.0,
3,pp3.sparql,432.6,144.4,577.0,
4,pp4-2.sparql,422.2,84.2,506.4,
5,pp4.sparql,423.2,112.0,535.2,
