,query,netw_time,reas_time,total_time,id
0,pp2-re0.n3,314.0,5.0,319.0,pp2-re0
1,pp2-re1.n3,307.0,27.0,334.0,pp2-re1
2,pp2.n3,320.0,251.0,571.0,pp2
3,pp4-re0.n3,315.0,4.0,319.0,pp4-re0
4,pp4-re1.n3,316.0,87.0,403.0,pp4-re1
5,pp4.n3,289.0,154.0,443.0,pp4
