,query,netw_time,reas_time,total_time,id
0,pp1.n3,632.0,116.0,748.0,pp1
3,pp2.n3,595.0,2123.0,2718.0,pp2
4,pp3.n3,590.0,1181.0,1771.0,pp3
7,pp4.n3,585.0,18227.0,18812.0,pp4
