,query,netw_time,reas_time,total_time,id
0,pp1.n3,295.2,54.8,350.0,pp1
3,pp2.n3,301.2,624.4,925.6,pp2
4,pp3.n3,301.8,449.2,751.0,pp3
7,pp4.n3,300.2,4415.6,4715.8,pp4
