,query,netw_time,reas_time,total_time,id
0,pp1.n3,616.0,123.0,739.0,pp1
3,pp2.n3,631.0,1172.0,1803.0,pp2
4,pp3.n3,600.0,1095.0,1695.0,pp3
7,pp4.n3,640.0,2212.0,2852.0,pp4
