,query,netw_time,reas_time,total_time,id
0,pp2-re0.n3,1719.0,13.0,1732.0,pp2-re0
1,pp2-re1.n3,1687.0,147.0,1834.0,pp2-re1
2,pp2.n3,1648.0,2209.0,3857.0,pp2
3,pp4-re0.n3,1635.0,12.0,1647.0,pp4-re0
4,pp4-re1.n3,1582.0,632.0,2214.0,pp4-re1
5,pp4.n3,1597.0,1333.0,2930.0,pp4
