,query,load_time,exec_time,total_time,id
0,pp1.sparql,442.2,104.6,546.8,pp1
2,pp2.sparql,417.4,116.6,534.0,pp2
3,pp3.sparql,432.6,144.4,577.0,pp3
5,pp4.sparql,423.2,112.0,535.2,pp4
