,query,netw_time,reas_time,total_time,id
0,pp1.n3,3453.0,982.0,4435.0,pp1
3,pp2.n3,3405.0,77843.0,81248.0,pp2
4,pp3.n3,3441.0,16881.0,20322.0,pp3
