,query,netw_time,reas_time,total_time,nr
0,pp1.n3,3466.0,1523.0,4989.0,
1,pp2-2.n3,3428.0,555.0,3983.0,
2,pp2.n3,3363.0,35977.0,39340.0,
3,pp3.n3,3436.0,221299.0,224735.0,
4,pp4-2.n3,3406.0,883.0,4289.0,
