,query,netw_time,reas_time,total_time,nr
0,pp1.n3,2395.0,851.0,3246.0,pp1
1,pp2-2.n3,2359.0,365.0,2724.0,pp2-2
2,pp2.n3,2346.0,17496.0,19842.0,pp2
3,pp3.n3,2321.0,116763.0,119084.0,pp3
4,pp4-2.n3,2339.0,574.0,2913.0,pp4-2
5,pp4.n3,2343.0,22181.0,24524.0,pp4
