,query,netw_time,reas_time,total_time,id
0,pp1.n3,317.2,82.6,399.8,pp1
3,pp2.n3,304.8,572.6,877.4,pp2
4,pp3.n3,311.8,4856.6,5168.4,pp3
7,pp4.n3,296.4,633.2,929.6,pp4
