,query,netw_time,reas_time,total_time,id
0,pp2-re0.n3,2395.0,20.0,2415.0,pp2-re0
1,pp2-re1.n3,2290.0,214.0,2504.0,pp2-re1
2,pp2.n3,2254.0,3603.0,5857.0,pp2
3,pp4-re0.n3,2252.0,17.0,2269.0,pp4-re0
4,pp4-re1.n3,2365.0,997.0,3362.0,pp4-re1
5,pp4.n3,2294.0,2148.0,4442.0,pp4
