,query,netw_time,reas_time,total_time,nr
0,pp1.n3,295.2,54.8,350.0,
1,pp2-2.n3,303.8,2.8,306.6,
2,pp2.n3,301.2,624.4,925.6,
3,pp3.n3,301.8,449.2,751.0,
4,pp4-2.n3,296.4,2.0,298.4,
5,pp4.n3,300.2,4415.6,4715.8,
