,query,netw_time,reas_time,total_time,id
0,pp1.n3,1720.0,561.0,2281.0,pp1
3,pp2.n3,1647.0,9240.0,10887.0,pp2
4,pp3.n3,1659.0,62878.0,64537.0,pp3
7,pp4.n3,1677.0,11720.0,13397.0,pp4
