,query,netw_time,reas_time,total_time,nr
0,pp1.n3,2405.0,569.0,2974.0,pp1
1,pp2-2.n3,2352.0,18.0,2370.0,pp2-2
2,pp2.n3,2368.0,31611.0,33979.0,pp2
3,pp3.n3,2333.0,9067.0,11400.0,pp3
4,pp4-2.n3,2351.0,17.0,2368.0,pp4-2
5,pp4.n3,2362.0,345051.0,347413.0,pp4
