,query,load_time,exec_time,total_time,id
0,pp1.sparql,1922.0,156.0,2078.0,pp1
2,pp2.sparql,1872.0,286.0,2158.0,pp2
3,pp3.sparql,1888.0,408.0,2296.0,pp3
5,pp4.sparql,1907.0,256.0,2163.0,pp4
