,load_time,exec_time,total_time
count,49.0,49.0,49.0
mean,126.23673469387757,1687.2857142857142,1813.522448979592
std,1.509234612525917,5979.682414783136,5979.921386999488
min,123.6,82.6,208.2
25%,125.2,101.2,227.6
50%,126.0,130.4,256.4
75%,127.0,553.2,679.0
max,131.6,39551.4,39679.4
