run,query,data,type,phase,netw_time,reas_time
0,pp4.n3,data_7_000_pt2.nt,direct,n/a,2358,245862
0,pp4.n3,data_7_000_pt2.nt,bwd,create,14,20
0,pp4.n3,data_7_000_pt2.nt,bwd,run,2230,32448
0,pp4.n3,data_7_000_pt2.nt,bwd,total,2244,32468
0,pp4.n3,data_7_000_pt2.nt,bwd_ro1,run,2310,2163
0,pp4.n3,data_7_000_pt2.nt,bwd_ro1,total,2310,2163
0,pp4.n3,data_7_000_pt2.nt,fwd,create,14,20
0,pp4.n3,data_7_000_pt2.nt,fwd,run,2280,22108
0,pp4.n3,data_7_000_pt2.nt,fwd,total,2294,22128

0,pp4-re1.n3,data_7_000_pt2.nt,direct,n/a,2263,289140
0,pp4-re1.n3,data_7_000_pt2.nt,bwd,create,14,20
0,pp4-re1.n3,data_7_000_pt2.nt,bwd,run,2308,60491
0,pp4-re1.n3,data_7_000_pt2.nt,bwd,total,2322,60511
0,pp4-re1.n3,data_7_000_pt2.nt,bwd_ro1,run,2265,54284
0,pp4-re1.n3,data_7_000_pt2.nt,bwd_ro1,total,2265,54284
0,pp4-re1.n3,data_7_000_pt2.nt,fwd,create,14,20
0,pp4-re1.n3,data_7_000_pt2.nt,fwd,run,2308,107091
0,pp4-re1.n3,data_7_000_pt2.nt,fwd,total,2322,107111
