run,query,data,type,phase,netw_time,reas_time
0,pp4.n3,data_1_000_pt2.nt,direct,n/a,323,4495
0,pp4.n3,data_1_000_pt2.nt,bwd,create,15,20
0,pp4.n3,data_1_000_pt2.nt,bwd,run,298,599
0,pp4.n3,data_1_000_pt2.nt,bwd,total,313,619
0,pp4.n3,data_1_000_pt2.nt,bwd_ro1,run,299,162
0,pp4.n3,data_1_000_pt2.nt,bwd_ro1,total,299,162
0,pp4.n3,data_1_000_pt2.nt,fwd,create,15,20
0,pp4.n3,data_1_000_pt2.nt,fwd,run,319,619
0,pp4.n3,data_1_000_pt2.nt,fwd,total,334,639

0,pp4-re1.n3,data_1_000_pt2.nt,direct,n/a,301,5240
0,pp4-re1.n3,data_1_000_pt2.nt,bwd,create,15,20
0,pp4-re1.n3,data_1_000_pt2.nt,bwd,run,289,1043
0,pp4-re1.n3,data_1_000_pt2.nt,bwd,total,304,1063
0,pp4-re1.n3,data_1_000_pt2.nt,bwd_ro1,run,274,1117
0,pp4-re1.n3,data_1_000_pt2.nt,bwd_ro1,total,274,1117
0,pp4-re1.n3,data_1_000_pt2.nt,fwd,create,14,20
0,pp4-re1.n3,data_1_000_pt2.nt,fwd,run,276,2167
0,pp4-re1.n3,data_1_000_pt2.nt,fwd,total,290,2187
