,load_time,exec_time,total_time
count,50.0,50.0,50.0
mean,0.7885786849074066,1895.2858058393467,1896.0743845242541
std,0.1035058688190902,10278.939936382008,10278.937480435576
min,0.6479252129793167,5.329633387736976,6.066458590794355
25%,0.6960480997804552,11.625591592746787,12.385252001695335
50%,0.7617293042130768,40.89252900448628,41.683662397554144
75%,0.8859062421834096,405.0612607592484,405.74037334881723
max,0.9734750026836991,72760.12995019555,72760.9073920059
