,load_time,exec_time,total_time
count,50.0,50.0,50.0
mean,94.54400000000001,237.748,332.292
std,1.8948006195257328,391.36857060467037,391.0011622927555
min,92.4,62.2,155.8
25%,93.4,75.64999999999999,170.25
50%,94.0,91.6,188.2
75%,95.15,213.0,307.05
max,101.6,2305.0,2397.6
