,netw_time,reas_time,total_time
count,41.0,41.0,41.0
mean,29.26829268292683,1770.2682926829268,1799.5365853658536
std,3.8342169359851197,7504.0488305460485,7504.091930732061
min,23.0,23.0,46.0
25%,27.0,53.0,79.0
50%,28.0,70.0,98.0
75%,31.0,149.0,177.0
max,42.0,44168.0,44197.0
