,netw_time,reas_time,total_time
count,50.0,50.0,50.0
mean,29.352000000000004,103.44800000000001,132.8
std,4.232731544349418,95.24576639581694,96.93761511657794
min,22.2,24.4,50.2
25%,26.05,59.75,87.35
50%,28.9,76.19999999999999,104.4
75%,31.65,117.1,145.3
max,42.8,665.0,694.2
