,netw_time,reas_time,total_time
count,41.0,41.0,41.0
mean,9.536585365853659,5282.926829268293,5292.463414634146
std,0.5521576303742327,25057.374673327457,25057.307898193656
min,9.0,0.0,9.0
25%,9.0,4.0,13.0
50%,10.0,28.0,38.0
75%,10.0,322.0,331.0
max,11.0,155833.0,155842.0
