,load_time,exec_time,total_time
count,50.0,50.0,50.0
mean,120.26400000000001,202.424,322.68799999999993
std,1.3464632432064845,467.4196744525268,467.58104771214994
min,118.2,81.0,201.6
25%,119.45,94.5,214.5
50%,120.0,109.8,230.4
75%,120.75,146.9,268.5
max,124.8,3397.4,3519.0
