run,query,data,type,phase,netw_time,reas_time
0,query-0.n3,data_50.nt,direct,n/a,10,762
0,query-1.n3,data_50.nt,direct,n/a,10,12
0,query-10.n3,data_50.nt,direct,n/a,9,4
0,query-11.n3,data_50.nt,direct,n/a,10,28
0,query-12.n3,data_50.nt,direct,n/a,9,322
0,query-13.n3,data_50.nt,direct,n/a,9,1
0,query-14.n3,data_50.nt,direct,n/a,9,155833
0,query-15.n3,data_50.nt,direct,n/a,9,0
0,query-16.n3,data_50.nt,direct,n/a,9,198
0,query-17.n3,data_50.nt,direct,n/a,9,6
0,query-18.n3,data_50.nt,direct,n/a,10,6
0,query-19.n3,data_50.nt,direct,n/a,9,3
0,query-2.n3,data_50.nt,direct,n/a,10,1228
0,query-20.n3,data_50.nt,direct,n/a,9,3186
0,query-21.n3,data_50.nt,direct,n/a,9,1
0,query-22.n3,data_50.nt,direct,n/a,10,31
0,query-23.n3,data_50.nt,direct,n/a,9,158
0,query-24.n3,data_50.nt,direct,n/a,9,2727
0,query-25.n3,data_50.nt,direct,n/a,9,58
0,query-26.n3,data_50.nt,direct,n/a,9,7
0,query-27.n3,data_50.nt,direct,n/a,-1,-1
0,query-28.n3,data_50.nt,direct,n/a,-1,-1
0,query-29.n3,data_50.nt,direct,n/a,11,85
0,query-3.n3,data_50.nt,direct,n/a,10,352
0,query-30.n3,data_50.nt,direct,n/a,10,5
0,query-31.n3,data_50.nt,direct,n/a,9,4869
0,query-32.n3,data_50.nt,direct,n/a,10,41
0,query-33.n3,data_50.nt,direct,n/a,10,145
0,query-34.n3,data_50.nt,direct,n/a,-1,-1
0,query-35.n3,data_50.nt,direct,n/a,10,6
0,query-36.n3,data_50.nt,direct,n/a,10,148
0,query-37.n3,data_50.nt,direct,n/a,9,5
0,query-38.n3,data_50.nt,direct,n/a,-1,-1
0,query-39.n3,data_50.nt,direct,n/a,10,21
0,query-4.n3,data_50.nt,direct,n/a,10,34
0,query-40.n3,data_50.nt,direct,n/a,-1,-1
0,query-41.n3,data_50.nt,direct,n/a,10,1587
0,query-42.n3,data_50.nt,direct,n/a,9,1
0,query-43.n3,data_50.nt,direct,n/a,-1,-1
0,query-44.n3,data_50.nt,direct,n/a,10,2
0,query-45.n3,data_50.nt,direct,n/a,10,43913
0,query-46.n3,data_50.nt,direct,n/a,9,1
0,query-47.n3,data_50.nt,direct,n/a,10,0
0,query-48.n3,data_50.nt,direct,n/a,10,2
0,query-49.n3,data_50.nt,direct,n/a,-1,-1
0,query-5.n3,data_50.nt,direct,n/a,9,11
0,query-6.n3,data_50.nt,direct,n/a,-1,-1
0,query-7.n3,data_50.nt,direct,n/a,10,797
0,query-8.n3,data_50.nt,direct,n/a,-1,-1
0,query-9.n3,data_50.nt,direct,n/a,9,4
0,query-0.n3,data_50.nt,bwd,create,16,51
0,query-0.n3,data_50.nt,bwd,run,16,365
0,query-0.n3,data_50.nt,bwd,total,32,416
0,query-1.n3,data_50.nt,bwd,create,15,58
0,query-1.n3,data_50.nt,bwd,run,13,2
0,query-1.n3,data_50.nt,bwd,total,28,60
0,query-10.n3,data_50.nt,bwd,create,16,62
0,query-10.n3,data_50.nt,bwd,run,15,2
0,query-10.n3,data_50.nt,bwd,total,31,64
0,query-11.n3,data_50.nt,bwd,create,16,59
0,query-11.n3,data_50.nt,bwd,run,12,8
0,query-11.n3,data_50.nt,bwd,total,28,67
0,query-12.n3,data_50.nt,bwd,create,17,54
0,query-12.n3,data_50.nt,bwd,run,11,95
0,query-12.n3,data_50.nt,bwd,total,28,149
0,query-13.n3,data_50.nt,bwd,create,16,38
0,query-13.n3,data_50.nt,bwd,run,10,0
0,query-13.n3,data_50.nt,bwd,total,26,38
0,query-14.n3,data_50.nt,bwd,create,16,58
0,query-14.n3,data_50.nt,bwd,run,13,44110
0,query-14.n3,data_50.nt,bwd,total,29,44168
0,query-15.n3,data_50.nt,bwd,create,15,23
0,query-15.n3,data_50.nt,bwd,run,8,0
0,query-15.n3,data_50.nt,bwd,total,23,23
0,query-16.n3,data_50.nt,bwd,create,16,76
0,query-16.n3,data_50.nt,bwd,run,15,86
0,query-16.n3,data_50.nt,bwd,total,31,162
0,query-17.n3,data_50.nt,bwd,create,16,45
0,query-17.n3,data_50.nt,bwd,run,12,2
0,query-17.n3,data_50.nt,bwd,total,28,47
0,query-18.n3,data_50.nt,bwd,create,15,68
0,query-18.n3,data_50.nt,bwd,run,13,2
0,query-18.n3,data_50.nt,bwd,total,28,70
0,query-19.n3,data_50.nt,bwd,create,16,61
0,query-19.n3,data_50.nt,bwd,run,13,0
0,query-19.n3,data_50.nt,bwd,total,29,61
0,query-2.n3,data_50.nt,bwd,create,17,72
0,query-2.n3,data_50.nt,bwd,run,17,473
0,query-2.n3,data_50.nt,bwd,total,34,545
0,query-20.n3,data_50.nt,bwd,create,15,113
0,query-20.n3,data_50.nt,bwd,run,27,1248
0,query-20.n3,data_50.nt,bwd,total,42,1361
0,query-21.n3,data_50.nt,bwd,create,15,39
0,query-21.n3,data_50.nt,bwd,run,11,0
0,query-21.n3,data_50.nt,bwd,total,26,39
0,query-22.n3,data_50.nt,bwd,create,16,60
0,query-22.n3,data_50.nt,bwd,run,15,13
0,query-22.n3,data_50.nt,bwd,total,31,73
0,query-23.n3,data_50.nt,bwd,create,16,64
0,query-23.n3,data_50.nt,bwd,run,11,24
0,query-23.n3,data_50.nt,bwd,total,27,88
0,query-24.n3,data_50.nt,bwd,create,16,96
0,query-24.n3,data_50.nt,bwd,run,17,1150
0,query-24.n3,data_50.nt,bwd,total,33,1246
0,query-25.n3,data_50.nt,bwd,create,16,59
0,query-25.n3,data_50.nt,bwd,run,11,8
0,query-25.n3,data_50.nt,bwd,total,27,67
0,query-26.n3,data_50.nt,bwd,create,16,50
0,query-26.n3,data_50.nt,bwd,run,10,1
0,query-26.n3,data_50.nt,bwd,total,26,51
0,query-27.n3,data_50.nt,bwd,create,16,78
0,query-27.n3,data_50.nt,bwd,run,-1,-1
0,query-27.n3,data_50.nt,bwd,total,15,77
0,query-28.n3,data_50.nt,bwd,create,17,110
0,query-28.n3,data_50.nt,bwd,run,-1,-1
0,query-28.n3,data_50.nt,bwd,total,16,109
0,query-29.n3,data_50.nt,bwd,create,17,72
0,query-29.n3,data_50.nt,bwd,run,13,20
0,query-29.n3,data_50.nt,bwd,total,30,92
0,query-3.n3,data_50.nt,bwd,create,16,67
0,query-3.n3,data_50.nt,bwd,run,16,49
0,query-3.n3,data_50.nt,bwd,total,32,116
0,query-30.n3,data_50.nt,bwd,create,15,73
0,query-30.n3,data_50.nt,bwd,run,14,1
0,query-30.n3,data_50.nt,bwd,total,29,74
0,query-31.n3,data_50.nt,bwd,create,16,62
0,query-31.n3,data_50.nt,bwd,run,12,1124
0,query-31.n3,data_50.nt,bwd,total,28,1186
0,query-32.n3,data_50.nt,bwd,create,16,63
0,query-32.n3,data_50.nt,bwd,run,14,5
0,query-32.n3,data_50.nt,bwd,total,30,68
0,query-33.n3,data_50.nt,bwd,create,16,68
0,query-33.n3,data_50.nt,bwd,run,16,14
0,query-33.n3,data_50.nt,bwd,total,32,82
0,query-34.n3,data_50.nt,bwd,create,16,70
0,query-34.n3,data_50.nt,bwd,run,-1,-1
0,query-34.n3,data_50.nt,bwd,total,15,69
0,query-35.n3,data_50.nt,bwd,create,17,71
0,query-35.n3,data_50.nt,bwd,run,13,0
0,query-35.n3,data_50.nt,bwd,total,30,71
0,query-36.n3,data_50.nt,bwd,create,16,82
0,query-36.n3,data_50.nt,bwd,run,15,29
0,query-36.n3,data_50.nt,bwd,total,31,111
0,query-37.n3,data_50.nt,bwd,create,16,38
0,query-37.n3,data_50.nt,bwd,run,8,1
0,query-37.n3,data_50.nt,bwd,total,24,39
0,query-38.n3,data_50.nt,bwd,create,16,64
0,query-38.n3,data_50.nt,bwd,run,-1,-1
0,query-38.n3,data_50.nt,bwd,total,15,63
0,query-39.n3,data_50.nt,bwd,create,16,51
0,query-39.n3,data_50.nt,bwd,run,10,2
0,query-39.n3,data_50.nt,bwd,total,26,53
0,query-4.n3,data_50.nt,bwd,create,17,79
0,query-4.n3,data_50.nt,bwd,run,17,9
0,query-4.n3,data_50.nt,bwd,total,34,88
