run,query,data,load_time,exec_time
0,query-0.sparql,data_50.nt,100,121
0,query-1.sparql,data_50.nt,111,95
0,query-10.sparql,data_50.nt,94,87
0,query-11.sparql,data_50.nt,95,93
0,query-12.sparql,data_50.nt,92,235
0,query-13.sparql,data_50.nt,94,79
0,query-14.sparql,data_50.nt,93,152
0,query-15.sparql,data_50.nt,94,62
0,query-16.sparql,data_50.nt,93,119
0,query-17.sparql,data_50.nt,93,84
0,query-18.sparql,data_50.nt,94,64
0,query-19.sparql,data_50.nt,94,81
0,query-2.sparql,data_50.nt,94,285
0,query-20.sparql,data_50.nt,94,131
0,query-21.sparql,data_50.nt,94,76
0,query-22.sparql,data_50.nt,93,109
0,query-23.sparql,data_50.nt,94,71
0,query-24.sparql,data_50.nt,95,554
0,query-25.sparql,data_50.nt,93,91
0,query-26.sparql,data_50.nt,93,63
0,query-27.sparql,data_50.nt,97,460
0,query-28.sparql,data_50.nt,92,830
0,query-29.sparql,data_50.nt,95,146
0,query-3.sparql,data_50.nt,92,119
0,query-30.sparql,data_50.nt,91,65
0,query-31.sparql,data_50.nt,93,65
0,query-32.sparql,data_50.nt,95,81
0,query-33.sparql,data_50.nt,98,79
0,query-34.sparql,data_50.nt,94,72
0,query-35.sparql,data_50.nt,104,85
0,query-36.sparql,data_50.nt,96,186
0,query-37.sparql,data_50.nt,95,76
0,query-38.sparql,data_50.nt,95,384
0,query-39.sparql,data_50.nt,95,83
0,query-4.sparql,data_50.nt,97,106
0,query-40.sparql,data_50.nt,96,279
0,query-41.sparql,data_50.nt,95,138
0,query-42.sparql,data_50.nt,93,63
0,query-43.sparql,data_50.nt,96,591
0,query-44.sparql,data_50.nt,94,79
0,query-45.sparql,data_50.nt,92,1516
0,query-46.sparql,data_50.nt,96,71
0,query-47.sparql,data_50.nt,94,69
0,query-48.sparql,data_50.nt,92,75
0,query-49.sparql,data_50.nt,93,320
0,query-5.sparql,data_50.nt,94,78
0,query-6.sparql,data_50.nt,93,2245
0,query-7.sparql,data_50.nt,98,226
0,query-8.sparql,data_50.nt,94,483
0,query-9.sparql,data_50.nt,95,60
1,query-0.sparql,data_50.nt,92,106
1,query-1.sparql,data_50.nt,93,88
1,query-10.sparql,data_50.nt,94,86
1,query-11.sparql,data_50.nt,95,92
1,query-12.sparql,data_50.nt,92,256
1,query-13.sparql,data_50.nt,93,77
1,query-14.sparql,data_50.nt,93,148
1,query-15.sparql,data_50.nt,93,60
1,query-16.sparql,data_50.nt,94,115
1,query-17.sparql,data_50.nt,95,85
1,query-18.sparql,data_50.nt,93,64
1,query-19.sparql,data_50.nt,92,80
1,query-2.sparql,data_50.nt,93,296
1,query-20.sparql,data_50.nt,92,132
1,query-21.sparql,data_50.nt,94,76
1,query-22.sparql,data_50.nt,94,108
1,query-23.sparql,data_50.nt,92,68
1,query-24.sparql,data_50.nt,95,550
1,query-25.sparql,data_50.nt,92,91
1,query-26.sparql,data_50.nt,94,64
1,query-27.sparql,data_50.nt,93,473
1,query-28.sparql,data_50.nt,94,826
1,query-29.sparql,data_50.nt,92,147
1,query-3.sparql,data_50.nt,93,120
1,query-30.sparql,data_50.nt,94,63
1,query-31.sparql,data_50.nt,93,64
1,query-32.sparql,data_50.nt,98,80
1,query-33.sparql,data_50.nt,93,76
1,query-34.sparql,data_50.nt,93,73
1,query-35.sparql,data_50.nt,91,78
1,query-36.sparql,data_50.nt,96,180
1,query-37.sparql,data_50.nt,93,79
1,query-38.sparql,data_50.nt,93,367
1,query-39.sparql,data_50.nt,93,84
1,query-4.sparql,data_50.nt,119,107
1,query-40.sparql,data_50.nt,95,265
1,query-41.sparql,data_50.nt,93,138
1,query-42.sparql,data_50.nt,93,63
1,query-43.sparql,data_50.nt,95,685
1,query-44.sparql,data_50.nt,92,81
1,query-45.sparql,data_50.nt,94,1527
1,query-46.sparql,data_50.nt,91,70
1,query-47.sparql,data_50.nt,93,69
1,query-48.sparql,data_50.nt,95,75
1,query-49.sparql,data_50.nt,91,316
1,query-5.sparql,data_50.nt,93,80
1,query-6.sparql,data_50.nt,94,2229
1,query-7.sparql,data_50.nt,93,224
1,query-8.sparql,data_50.nt,96,494
1,query-9.sparql,data_50.nt,92,63
2,query-0.sparql,data_50.nt,92,109
2,query-1.sparql,data_50.nt,94,88
2,query-10.sparql,data_50.nt,93,84
2,query-11.sparql,data_50.nt,92,97
2,query-12.sparql,data_50.nt,92,254
2,query-13.sparql,data_50.nt,92,76
2,query-14.sparql,data_50.nt,94,150
2,query-15.sparql,data_50.nt,92,61
2,query-16.sparql,data_50.nt,94,118
2,query-17.sparql,data_50.nt,92,84
2,query-18.sparql,data_50.nt,95,65
2,query-19.sparql,data_50.nt,94,79
2,query-2.sparql,data_50.nt,91,295
2,query-20.sparql,data_50.nt,93,128
2,query-21.sparql,data_50.nt,96,76
2,query-22.sparql,data_50.nt,93,110
2,query-23.sparql,data_50.nt,101,70
2,query-24.sparql,data_50.nt,94,551
2,query-25.sparql,data_50.nt,93,95
2,query-26.sparql,data_50.nt,93,65
2,query-27.sparql,data_50.nt,94,484
2,query-28.sparql,data_50.nt,92,823
2,query-29.sparql,data_50.nt,93,147
2,query-3.sparql,data_50.nt,93,117
2,query-30.sparql,data_50.nt,93,66
2,query-31.sparql,data_50.nt,90,68
2,query-32.sparql,data_50.nt,92,81
2,query-33.sparql,data_50.nt,95,74
2,query-34.sparql,data_50.nt,95,73
2,query-35.sparql,data_50.nt,95,75
2,query-36.sparql,data_50.nt,97,186
2,query-37.sparql,data_50.nt,95,75
2,query-38.sparql,data_50.nt,95,368
2,query-39.sparql,data_50.nt,93,83
2,query-4.sparql,data_50.nt,93,104
2,query-40.sparql,data_50.nt,94,274
2,query-41.sparql,data_50.nt,93,136
2,query-42.sparql,data_50.nt,93,63
2,query-43.sparql,data_50.nt,94,625
2,query-44.sparql,data_50.nt,93,78
2,query-45.sparql,data_50.nt,95,1510
2,query-46.sparql,data_50.nt,93,70
2,query-47.sparql,data_50.nt,95,70
2,query-48.sparql,data_50.nt,103,77
2,query-49.sparql,data_50.nt,95,320
2,query-5.sparql,data_50.nt,95,80
2,query-6.sparql,data_50.nt,93,2272
2,query-7.sparql,data_50.nt,92,216
2,query-8.sparql,data_50.nt,93,492
2,query-9.sparql,data_50.nt,93,62
3,query-0.sparql,data_50.nt,92,106
3,query-1.sparql,data_50.nt,92,89
3,query-10.sparql,data_50.nt,95,86
3,query-11.sparql,data_50.nt,94,92
3,query-12.sparql,data_50.nt,92,255
3,query-13.sparql,data_50.nt,93,79
3,query-14.sparql,data_50.nt,93,148
3,query-15.sparql,data_50.nt,94,59
3,query-16.sparql,data_50.nt,94,116
3,query-17.sparql,data_50.nt,94,81
3,query-18.sparql,data_50.nt,93,64
3,query-19.sparql,data_50.nt,92,82
3,query-2.sparql,data_50.nt,95,286
3,query-20.sparql,data_50.nt,92,130
3,query-21.sparql,data_50.nt,93,75
3,query-22.sparql,data_50.nt,95,107
3,query-23.sparql,data_50.nt,93,72
3,query-24.sparql,data_50.nt,92,536
3,query-25.sparql,data_50.nt,94,91
3,query-26.sparql,data_50.nt,93,65
3,query-27.sparql,data_50.nt,93,450
3,query-28.sparql,data_50.nt,95,837
3,query-29.sparql,data_50.nt,93,147
3,query-3.sparql,data_50.nt,92,118
3,query-30.sparql,data_50.nt,94,64
3,query-31.sparql,data_50.nt,92,66
3,query-32.sparql,data_50.nt,94,80
3,query-33.sparql,data_50.nt,92,74
3,query-34.sparql,data_50.nt,93,72
3,query-35.sparql,data_50.nt,92,76
3,query-36.sparql,data_50.nt,94,184
3,query-37.sparql,data_50.nt,91,77
3,query-38.sparql,data_50.nt,92,368
3,query-39.sparql,data_50.nt,93,81
3,query-4.sparql,data_50.nt,97,108
3,query-40.sparql,data_50.nt,92,274
3,query-41.sparql,data_50.nt,90,138
3,query-42.sparql,data_50.nt,93,62
3,query-43.sparql,data_50.nt,92,616
3,query-44.sparql,data_50.nt,92,80
3,query-45.sparql,data_50.nt,91,1511
3,query-46.sparql,data_50.nt,93,70
3,query-47.sparql,data_50.nt,93,69
3,query-48.sparql,data_50.nt,93,73
3,query-49.sparql,data_50.nt,93,305
3,query-5.sparql,data_50.nt,92,79
3,query-6.sparql,data_50.nt,92,2496
3,query-7.sparql,data_50.nt,93,224
3,query-8.sparql,data_50.nt,92,510
3,query-9.sparql,data_50.nt,92,66
4,query-0.sparql,data_50.nt,92,106
4,query-1.sparql,data_50.nt,118,95
4,query-10.sparql,data_50.nt,106,95
4,query-11.sparql,data_50.nt,111,96
4,query-12.sparql,data_50.nt,99,254
4,query-13.sparql,data_50.nt,100,81
4,query-14.sparql,data_50.nt,100,160
4,query-15.sparql,data_50.nt,109,69
4,query-16.sparql,data_50.nt,102,131
4,query-17.sparql,data_50.nt,97,90
4,query-18.sparql,data_50.nt,94,67
4,query-19.sparql,data_50.nt,93,80
4,query-2.sparql,data_50.nt,94,297
4,query-20.sparql,data_50.nt,100,135
4,query-21.sparql,data_50.nt,109,82
4,query-22.sparql,data_50.nt,98,106
4,query-23.sparql,data_50.nt,105,80
4,query-24.sparql,data_50.nt,96,545
4,query-25.sparql,data_50.nt,92,93
4,query-26.sparql,data_50.nt,96,67
4,query-27.sparql,data_50.nt,95,459
4,query-28.sparql,data_50.nt,105,813
4,query-29.sparql,data_50.nt,94,146
4,query-3.sparql,data_50.nt,95,119
4,query-30.sparql,data_50.nt,91,68
4,query-31.sparql,data_50.nt,94,72
4,query-32.sparql,data_50.nt,92,82
4,query-33.sparql,data_50.nt,95,75
4,query-34.sparql,data_50.nt,94,74
4,query-35.sparql,data_50.nt,93,76
4,query-36.sparql,data_50.nt,94,188
4,query-37.sparql,data_50.nt,93,72
4,query-38.sparql,data_50.nt,93,367
4,query-39.sparql,data_50.nt,96,83
4,query-4.sparql,data_50.nt,94,103
4,query-40.sparql,data_50.nt,93,277
4,query-41.sparql,data_50.nt,101,139
4,query-42.sparql,data_50.nt,94,63
4,query-43.sparql,data_50.nt,100,681
4,query-44.sparql,data_50.nt,124,79
4,query-45.sparql,data_50.nt,92,1553
4,query-46.sparql,data_50.nt,93,72
4,query-47.sparql,data_50.nt,92,70
4,query-48.sparql,data_50.nt,93,76
4,query-49.sparql,data_50.nt,93,319
4,query-5.sparql,data_50.nt,93,79
4,query-6.sparql,data_50.nt,91,2283
4,query-7.sparql,data_50.nt,92,222
4,query-8.sparql,data_50.nt,93,499
4,query-9.sparql,data_50.nt,95,61
