run,query,data,type,phase,netw_time,reas_time
0,query-40.n3,data_100.nt,fwd,run,23,234
0,query-40.n3,data_100.nt,fwd,total,39,312
0,query-41.n3,data_100.nt,fwd,create,16,93
0,query-41.n3,data_100.nt,fwd,run,25,39
0,query-41.n3,data_100.nt,fwd,total,41,132
0,query-42.n3,data_100.nt,fwd,create,16,52
0,query-42.n3,data_100.nt,fwd,run,15,4
0,query-42.n3,data_100.nt,fwd,total,31,56
0,query-43.n3,data_100.nt,fwd,create,16,54
0,query-43.n3,data_100.nt,fwd,run,16,86
0,query-43.n3,data_100.nt,fwd,total,32,140
0,query-44.n3,data_100.nt,fwd,create,16,37
0,query-44.n3,data_100.nt,fwd,run,15,3
0,query-44.n3,data_100.nt,fwd,total,31,40
0,query-46.n3,data_100.nt,fwd,create,16,31
0,query-46.n3,data_100.nt,fwd,run,12,3
0,query-46.n3,data_100.nt,fwd,total,28,34
0,query-47.n3,data_100.nt,fwd,create,17,37
0,query-47.n3,data_100.nt,fwd,run,13,4
0,query-47.n3,data_100.nt,fwd,total,30,41
0,query-48.n3,data_100.nt,fwd,create,16,46
0,query-48.n3,data_100.nt,fwd,run,14,4
0,query-48.n3,data_100.nt,fwd,total,30,50
0,query-49.n3,data_100.nt,fwd,create,16,113
0,query-49.n3,data_100.nt,fwd,run,30,75
0,query-49.n3,data_100.nt,fwd,total,46,188
0,query-5.n3,data_100.nt,fwd,create,16,56
0,query-5.n3,data_100.nt,fwd,run,16,19
0,query-5.n3,data_100.nt,fwd,total,32,75
0,query-6.n3,data_100.nt,fwd,create,16,53
0,query-6.n3,data_100.nt,fwd,run,19,151
0,query-6.n3,data_100.nt,fwd,total,35,204
0,query-7.n3,data_100.nt,fwd,create,16,70
0,query-7.n3,data_100.nt,fwd,run,20,2389
0,query-7.n3,data_100.nt,fwd,total,36,2459
0,query-8.n3,data_100.nt,fwd,create,17,81
0,query-8.n3,data_100.nt,fwd,run,21,537
0,query-8.n3,data_100.nt,fwd,total,38,618
0,query-9.n3,data_100.nt,fwd,create,16,40
0,query-9.n3,data_100.nt,fwd,run,15,4
0,query-9.n3,data_100.nt,fwd,total,31,44
1,query-0.n3,data_100.nt,fwd,create,16,51
1,query-0.n3,data_100.nt,fwd,run,19,17
1,query-0.n3,data_100.nt,fwd,total,35,68
1,query-1.n3,data_100.nt,fwd,create,17,61
1,query-1.n3,data_100.nt,fwd,run,18,14
1,query-1.n3,data_100.nt,fwd,total,35,75
1,query-10.n3,data_100.nt,fwd,create,17,65
1,query-10.n3,data_100.nt,fwd,run,19,6
1,query-10.n3,data_100.nt,fwd,total,36,71
1,query-11.n3,data_100.nt,fwd,create,17,61
1,query-11.n3,data_100.nt,fwd,run,17,26
1,query-11.n3,data_100.nt,fwd,total,34,87
1,query-12.n3,data_100.nt,fwd,create,17,55
1,query-12.n3,data_100.nt,fwd,run,16,169
1,query-12.n3,data_100.nt,fwd,total,33,224
1,query-13.n3,data_100.nt,fwd,create,16,39
1,query-13.n3,data_100.nt,fwd,run,15,2
1,query-13.n3,data_100.nt,fwd,total,31,41
1,query-14.n3,data_100.nt,fwd,create,16,59
1,query-14.n3,data_100.nt,fwd,run,16,41
1,query-14.n3,data_100.nt,fwd,total,32,100
1,query-15.n3,data_100.nt,fwd,create,16,24
1,query-15.n3,data_100.nt,fwd,run,12,1
1,query-15.n3,data_100.nt,fwd,total,28,25
1,query-16.n3,data_100.nt,fwd,create,17,77
1,query-16.n3,data_100.nt,fwd,run,18,500
1,query-16.n3,data_100.nt,fwd,total,35,577
1,query-17.n3,data_100.nt,fwd,create,15,47
1,query-17.n3,data_100.nt,fwd,run,18,6
1,query-17.n3,data_100.nt,fwd,total,33,53
1,query-18.n3,data_100.nt,fwd,create,16,70
1,query-18.n3,data_100.nt,fwd,run,18,11
1,query-18.n3,data_100.nt,fwd,total,34,81
1,query-19.n3,data_100.nt,fwd,create,17,63
1,query-19.n3,data_100.nt,fwd,run,19,6
1,query-19.n3,data_100.nt,fwd,total,36,69
1,query-2.n3,data_100.nt,fwd,create,17,75
1,query-2.n3,data_100.nt,fwd,run,23,5052
1,query-2.n3,data_100.nt,fwd,total,40,5127
1,query-20.n3,data_100.nt,fwd,create,17,117
1,query-20.n3,data_100.nt,fwd,run,30,203
1,query-20.n3,data_100.nt,fwd,total,47,320
1,query-21.n3,data_100.nt,fwd,create,17,41
1,query-21.n3,data_100.nt,fwd,run,16,4
1,query-21.n3,data_100.nt,fwd,total,33,45
1,query-22.n3,data_100.nt,fwd,create,18,62
1,query-22.n3,data_100.nt,fwd,run,20,40
1,query-22.n3,data_100.nt,fwd,total,38,102
1,query-23.n3,data_100.nt,fwd,create,16,66
1,query-23.n3,data_100.nt,fwd,run,17,93
1,query-23.n3,data_100.nt,fwd,total,33,159
1,query-24.n3,data_100.nt,fwd,create,17,100
