query,data,type,phase,netw_time,reas_time
query-43.n3,data_100.nt,fwd,run,14,86
query-43.n3,data_100.nt,fwd,total,30,140
query-44.n3,data_100.nt,fwd,create,15,37
query-44.n3,data_100.nt,fwd,run,13,3
query-44.n3,data_100.nt,fwd,total,28,40
query-45.n3,data_100.nt,fwd,create,17,55
query-45.n3,data_100.nt,fwd,run,-1,-1
query-45.n3,data_100.nt,fwd,total,16,54
query-46.n3,data_100.nt,fwd,create,17,31
query-46.n3,data_100.nt,fwd,run,11,3
query-46.n3,data_100.nt,fwd,total,28,34
query-47.n3,data_100.nt,fwd,create,15,39
query-47.n3,data_100.nt,fwd,run,12,4
query-47.n3,data_100.nt,fwd,total,27,43
query-48.n3,data_100.nt,fwd,create,16,46
query-48.n3,data_100.nt,fwd,run,13,4
query-48.n3,data_100.nt,fwd,total,29,50
query-5.n3,data_100.nt,fwd,create,16,56
query-5.n3,data_100.nt,fwd,run,16,19
query-5.n3,data_100.nt,fwd,total,32,75
query-6.n3,data_100.nt,fwd,create,16,53
query-6.n3,data_100.nt,fwd,run,19,152
query-6.n3,data_100.nt,fwd,total,35,205
query-7.n3,data_100.nt,fwd,create,16,70
query-7.n3,data_100.nt,fwd,run,20,2390
query-7.n3,data_100.nt,fwd,total,36,2460
query-8.n3,data_100.nt,fwd,create,16,66
query-8.n3,data_100.nt,fwd,run,20,527
query-8.n3,data_100.nt,fwd,total,36,593
query-9.n3,data_100.nt,fwd,create,16,40
query-9.n3,data_100.nt,fwd,run,13,4
query-9.n3,data_100.nt,fwd,total,29,44
